sampleId	analysising	hasAnalysis	fristAudit	secondAudit	terminate
76	0	0	0	0	0
77	0	0	0	0	0
78	0	0	0	0	0
80	0	0	0	0	0
81	0	0	0	0	0
1002	1	0	0	0	0
1004	1	0	0	0	0
1005	1	0	0	0	0
1006	1	0	0	0	0
1007	2	0	0	0	0
1008	1	0	0	0	0
1009	1	0	0	0	0
1010	2	0	0	0	0
1011	1	0	0	0	0
1013	1	0	0	0	0
1014	1	0	0	0	0
1015	1	0	0	0	0
1016	1	0	0	0	0
1018	1	0	0	0	0
1019	1	0	0	0	0
10B	19	0	0	0	0
2001	1	0	0	0	0
2004	1	0	0	0	0
2005	1	0	0	0	0
2007	1	0	0	0	0
2008	1	0	0	0	0
2009	1	0	0	0	0
2010	1	0	0	0	0
2011	1	0	0	0	0
2012	1	0	0	0	0
2013	2	0	0	0	0
2015	1	0	0	0	0
2016-01-62-2	19	0	0	0	0
2016-01-62-3	1	0	0	0	0
2016-01-67-1	1	0	0	0	0

2016-01-67-3	1	0	0	0	0
2016-01-67-4	1	0	0	0	0
2016-01-67-5	1	0	0	0	0
2016-01-67-6	1	0	0	0	0
2016-01-67-7	1	0	0	0	0
2016-01-67-8	1	0	0	0	0
2016-06-27-1	1	0	0	0	0
2016-06-27-10	2	0	0	0	0
2016-06-27-2	2	0	0	0	0
2016-06-27-3	2	0	0	0	0
2016-06-27-4	2	0	0	0	0
2016-06-27-5	2	0	0	0	0
2016-06-27-6	2	0	0	0	0
2016-06-27-7	2	0	0	0	0
2016-06-27-8	2	0	0	0	0
2016-06-27-9	2	0	0	0	0
2016-06-28-1	1	0	0	0	0
2016-06-28-10	2	0	0	0	0
2016-06-28-2	2	0	0	0	0
2016-06-28-3	2	0	0	0	0
2016-06-28-4	2	0	0	0	0
2016-06-28-5	2	0	0	0	0
2016-06-28-6	2	0	0	0	0
2016-06-28-7	2	0	0	0	0
2016-06-28-8	2	0	0	0	0
2016-06-28-9	2	0	0	0	0
2016-06-29-1	1	0	0	0	0
2016-06-29-10	2	0	0	0	0
2016-06-29-2	2	0	0	0	0
2016-06-29-3	2	0	0	0	0
2016-06-29-4	2	0	0	0	0
2016-06-29-5	2	0	0	0	0
2016-06-29-6	2	0	0	0	0
2016-06-29-7	2	0	0	0	0
2016-06-29-8	2	0	0	0	0
2016-06-29-9	2	0	0	0	0
2016-06-30-1	1	0	0	0	0
2016-06-30-10	2	0	0	0	0
2016-06-30-2	2	0	0	0	0
2016-06-30-3	2	0	0	0	0
2016-06-30-4	2	0	0	0	0
2016-06-30-5	2	0	0	0	0
2016-06-30-6	2	0	0	0	0
2016-06-30-7	2	0	0	0	0
2016-06-30-8	2	0	0	0	0
2016-06-30-9	2	0	0	0	0
2016-06-32-1	1	0	0	0	0
2016-06-32-2	3	0	0	0	0
2016-06-32-3	3	0	0	0	0
2016-06-32-4	3	0	0	0	0
2016-06-33-1	1	0	0	0	0
2016-06-33-10	2	0	0	0	0
2016-06-33-2	2	0	0	0	0
2016-06-33-3	2	0	0	0	0
2016-06-33-4	2	0	0	0	0
2016-06-33-5	2	0	0	0	0
2016-06-33-6	2	0	0	0	0
2016-06-33-7	2	0	0	0	0
2016-06-33-8	2	0	0	0	0
2016-06-33-9	2	0	0	0	0
2016-06-34-1	1	0	0	0	0
2016-06-34-10	2	0	0	0	0
2016-06-34-2	2	0	0	0	0
2016-06-34-3	2	0	0	0	0
2016-06-34-4	2	0	0	0	0
2016-06-34-5	2	0	0	0	0
2016-06-34-6	2	0	0	0	0
2016-06-34-7	2	0	0	0	0
2016-06-34-8	2	0	0	0	0
2016-06-34-9	2	0	0	0	0
2016-06-35-1	2	0	0	0	0
2016-06-35-10	2	0	0	0	0
2016-06-35-2	2	0	0	0	0
2016-06-35-3	2	0	0	0	0
2016-06-35-4	2	0	0	0	0
2016-06-35-5	2	0	0	0	0
2016-06-35-6	2	0	0	0	0
2016-06-35-7	2	0	0	0	0
2016-06-35-8	2	0	0	0	0
2016-06-35-9	2	0	0	0	0
2016-06-36-1	2	0	0	0	0
2016-06-37-1	1	0	0	0	0
2016-06-37-2	2	0	0	0	0
2016-06-37-3	2	0	0	0	0
2016-06-37-4	2	0	0	0	0
2016-06-37-5	2	0	0	0	0
2016-06-37-6	2	0	0	0	0
2016-06-37-7	2	0	0	0	0
2018	1	0	0	0	0
2019	1	0	0	0	0
2020	2	0	0	0	0
2022	1	0	0	0	0
3009	1	0	0	0	0
3010	1	0	0	0	0
3013	1	0	0	0	0
3014	1	0	0	0	0
3015	1	0	0	0	0
3016	1	0	0	0	0
3018	1	0	0	0	0
3019	1	0	0	0	0
3020	1	0	0	0	0
3021	1	0	0	0	0
3022	1	0	0	0	0
3024	1	0	0	0	0
3025	1	0	0	0	0
3026	1	0	0	0	0
3027	1	0	0	0	0
3030	1	0	0	0	0
3031	1	0	0	0	0
3034	1	0	0	0	0
3035	1	0	0	0	0
3040	1	0	0	0	0
3043	1	0	0	0	0
3044	1	0	0	0	0
3047	1	0	0	0	0
3048	1	0	0	0	0
3049	1	0	0	0	0
3050	1	0	0	0	0
3051	1	0	0	0	0
3052	1	0	0	0	0
3053	1	0	0	0	0
3054	2	0	0	0	0
3055	1	0	0	0	0
3056	1	0	0	0	0
3057	1	0	0	0	0
3058	1	0	0	0	0
3061	1	0	0	0	0
3063	1	0	0	0	0
3064	1	0	0	0	0
3066	1	0	0	0	0
3067	1	0	0	0	0
3068	1	0	0	0	0
3069	1	0	0	0	0
3070	1	0	0	0	0
3072	1	0	0	0	0
3073	1	0	0	0	0
3074	1	0	0	0	0
3076	1	0	0	0	0
3078	1	0	0	0	0
3079	1	0	0	0	0
3080	1	0	0	0	0
3081	1	0	0	0	0
30B	19	0	0	0	0
4002	1	0	0	0	0
4003	1	0	0	0	0
4004	1	0	0	0	0
4005	2	0	0	0	0
4006	2	0	0	0	0
4008	1	0	0	0	0
4009	1	0	0	0	0
4010	2	0	0	0	0
4013	3	0	0	0	0
4015	2	0	0	0	0
4017	1	0	0	0	0
4018	2	0	0	0	0
4023	2	0	0	0	0
4025	2	0	0	0	0
4027	2	0	0	0	0
4028	2	0	0	0	0
4031	2	0	0	0	0
4032	2	0	0	0	0
41B	19	0	0	0	0
42B	19	0	0	0	0
5001	1	0	0	0	0
5002	1	0	0	0	0
5006	1	0	0	0	0
5007	1	0	0	0	0
5008	1	0	0	0	0
5009	1	0	0	0	0
5011	1	0	0	0	0
5012	2	0	0	0	0
5013	1	0	0	0	0
5014	1	0	0	0	0
5015	1	0	0	0	0
5016	1	0	0	0	0
5018	1	0	0	0	0
5019	1	0	0	0	0
5020	1	0	0	0	0
5021	1	0	0	0	0
5024	1	0	0	0	0
5025	1	0	0	0	0
5027	1	0	0	0	0
5028	2	0	0	0	0
5031	1	0	0	0	0
5035	1	0	0	0	0
5036	1	0	0	0	0
5037	1	0	0	0	0
5038	1	0	0	0	0
5039	1	0	0	0	0
5040	1	0	0	0	0
5041	1	0	0	0	0
5042	1	0	0	0	0
5043	1	0	0	0	0
5044	1	0	0	0	0
5045	1	0	0	0	0
5047	1	0	0	0	0
5050	1	0	0	0	0
5051	1	0	0	0	0
5061	1	0	0	0	0
5062	1	0	0	0	0
5063	2	0	0	0	0
5065	1	0	0	0	0
50B	19	0	0	0	0
6001	1	0	0	0	0
6002	1	0	0	0	0
6004	1	0	0	0	0
6007	1	0	0	0	0
6008	1	0	0	0	0
6010	1	0	0	0	0
6011	1	0	0	0	0
6013	1	0	0	0	0
6015	1	0	0	0	0
6017	1	0	0	0	0
6018	2	0	0	0	0
6020	1	0	0	0	0
6021	1	0	0	0	0
6023	1	0	0	0	0
6026	1	0	0	0	0
6027	1	0	0	0	0
6028	1	0	0	0	0
6029	1	0	0	0	0
6030	1	0	0	0	0
6031	1	0	0	0	0
6032	1	0	0	0	0
6033	1	0	0	0	0
6034	2	0	0	0	0
6035	1	0	0	0	0
6036	1	0	0	0	0
6037	1	0	0	0	0
6038	2	0	0	0	0
6040	2	0	0	0	0
6041	1	0	0	0	0
6042	1	0	0	0	0
6043	1	0	0	0	0
6044	1	0	0	0	0
6045	2	0	0	0	0
6046	1	0	0	0	0
6047	1	0	0	0	0
6053	1	0	0	0	0
6054	1	0	0	0	0
6056	1	0	0	0	0
6057	1	0	0	0	0
6058	1	0	0	0	0
6059	2	0	0	0	0
6060	1	0	0	0	0
6061	1	0	0	0	0
6063	1	0	0	0	0
6068	1	0	0	0	0
6069	1	0	0	0	0
6070	1	0	0	0	0
6071	1	0	0	0	0
6072	1	0	0	0	0
6073	1	0	0	0	0
6075	1	0	0	0	0
6076	1	0	0	0	0
6077	1	0	0	0	0
6078	1	0	0	0	0
6079	1	0	0	0	0
6080	1	0	0	0	0
6081	1	0	0	0	0
6082	1	0	0	0	0
6083	1	0	0	0	0
6084	1	0	0	0	0
6085	1	0	0	0	0
6086	1	0	0	0	0
6087	1	0	0	0	0
6088	1	0	0	0	0
6089	1	0	0	0	0
6090	1	0	0	0	0
6091	1	0	0	0	0
6092	1	0	0	0	0
6093	1	0	0	0	0
6094	1	0	0	0	0
6096	1	0	0	0	0
6097	1	0	0	0	0
7001	1	0	0	0	0
7005	1	0	0	0	0
7007	1	0	0	0	0
7008	1	0	0	0	0
7009	2	0	0	0	0
7010	1	0	0	0	0
7011	1	0	0	0	0
7012	1	0	0	0	0
7013	1	0	0	0	0
7014	1	0	0	0	0
7016	1	0	0	0	0
7017	1	0	0	0	0
7018	1	0	0	0	0
7019	1	0	0	0	0
7022	1	0	0	0	0
7023	1	0	0	0	0
7025	1	0	0	0	0
7026	1	0	0	0	0
7028	1	0	0	0	0
7029	1	0	0	0	0
7030	2	0	0	0	0
7031	1	0	0	0	0
7032	1	0	0	0	0
7033	1	0	0	0	0
7034	1	0	0	0	0
7035	1	0	0	0	0
7037	1	0	0	0	0
7038	1	0	0	0	0
7039	1	0	0	0	0
7040	1	0	0	0	0
7041	1	0	0	0	0
7043	1	0	0	0	0
7044	1	0	0	0	0
7045	1	0	0	0	0
7046	2	0	0	0	0
7048	1	0	0	0	0
7049	1	0	0	0	0
7051	1	0	0	0	0
7052	1	0	0	0	0
7055	1	0	0	0	0
7064	1	0	0	0	0
7065	1	0	0	0	0
7066	1	0	0	0	0
7067	1	0	0	0	0
7069	1	0	0	0	0
72B	19	0	0	0	0
8002	1	0	0	0	0
8003	1	0	0	0	0
8004	1	0	0	0	0
8008	1	0	0	0	0
8011	1	0	0	0	0
8013	1	0	0	0	0
8014	1	0	0	0	0
8015	1	0	0	0	0
8016	1	0	0	0	0
8017	1	0	0	0	0
8019	1	0	0	0	0
8020	2	0	0	0	0
8021	1	0	0	0	0
8022	1	0	0	0	0
8023	1	0	0	0	0
8024	1	0	0	0	0
8025	1	0	0	0	0
8027	1	0	0	0	0
8028	1	0	0	0	0
8034	1	0	0	0	0
8035	1	0	0	0	0
8036	1	0	0	0	0
8037	1	0	0	0	0
9002	1	0	0	0	0
9003	1	0	0	0	0
9004	1	0	0	0	0
9005	1	0	0	0	0
9008	1	0	0	0	0
9009	1	0	0	0	0
9010	1	0	0	0	0
9011	1	0	0	0	0
9012	1	0	0	0	0
9014	1	0	0	0	0
9016	1	0	0	0	0
9017	1	0	0	0	0
9018	2	0	0	0	0
9019	1	0	0	0	0
9020	1	0	0	0	0
90B	19	0	0	0	0
A001	1	0	0	0	0
A002	1	0	0	0	0
A003	1	0	0	0	0
A006	1	0	0	0	0
A007	1	0	0	0	0
A008	2	0	0	0	0
A010	1	0	0	0	0
A012	1	0	0	0	0
A013	1	0	0	0	0
A014	1	0	0	0	0
A017	1	0	0	0	0
A018	1	0	0	0	0
A019	1	0	0	0	0
A020	1	0	0	0	0
A021	1	0	0	0	0
A024	1	0	0	0	0
A025	2	0	0	0	0
A026	1	0	0	0	0
A027	1	0	0	0	0
A028	1	0	0	0	0
A034	1	0	0	0	0
A035	2	0	0	0	0
A036	1	0	0	0	0
A037	1	0	0	0	0
A038	1	0	0	0	0
A039	1	0	0	0	0
A0B	19	0	0	0	0
B001	1	0	0	0	0
B002	1	0	0	0	0
B003	1	0	0	0	0
B004	1	0	0	0	0
B005	1	0	0	0	0
B006	1	0	0	0	0
B007	1	0	0	0	0
B009	1	0	0	0	0
B010	1	0	0	0	0
B011	1	0	0	0	0
B013	1	0	0	0	0
B014	1	0	0	0	0
B015	2	0	0	0	0
B016	1	0	0	0	0
B017	1	0	0	0	0
B019	1	0	0	0	0
B024	1	0	0	0	0
B026	1	0	0	0	0
B027	1	0	0	0	0
B028	1	0	0	0	0
B029	1	0	0	0	0
B030	1	0	0	0	0
B032	2	0	0	0	0
B034	1	0	0	0	0
B035	1	0	0	0	0
B036	1	0	0	0	0
D002	1	0	0	0	0
D003	1	0	0	0	0
D005	1	0	0	0	0
D006	1	0	0	0	0
D007	1	0	0	0	0
D008	1	0	0	0	0
D009	1	0	0	0	0
D011	1	0	0	0	0
D012	2	0	0	0	0
D013	1	0	0	0	0
D014	1	0	0	0	0
D015	1	0	0	0	0
D016	1	0	0	0	0
D017	1	0	0	0	0
D019	1	0	0	0	0
E0B	19	0	0	0	0
F002	2	0	0	0	0
F0B	19	0	0	0	0
NH01B	19	0	0	0	0
NH02B	19	0	0	0	0
PD01B	19	0	0	0	0
SJ01B	19	0	0	0	0
SJ02B	19	0	0	0	0
SJ03B	19	0	0	0	0
SJ04B	19	0	0	0	0
T1H	52	0	0	0	0
X1Y	63	0	0	0	0
XH01B	19	0	0	0	0
Z1H	52	0	0	0	0
3038	0	3	0	0	0
3038	0	0	5	0	0
58	0	0	1	0	0
59	0	0	1	0	0
60	0	0	1	0	0
61	0	0	1	0	0
62	0	0	1	0	0
63	0	0	1	0	0
64	0	0	1	0	0
65	0	0	1	0	0
66	0	0	1	0	0
67	0	0	1	0	0
68	0	0	1	0	0
69	0	0	1	0	0
70	0	0	1	0	0
71	0	0	1	0	0
72	0	0	1	0	0
73	0	0	1	0	0
74	0	0	1	0	0
75	0	0	1	0	0
01G	0	0	0	35	0
02G	0	0	0	35	0
03G	0	0	0	35	0
04G	0	0	0	35	0
05G	0	0	0	35	0
06G	0	0	0	35	0
07G	0	0	0	35	0
1001	0	0	0	8	0
1002	0	0	0	6	0
1003	0	0	0	8	0
1004	0	0	0	6	0
1005	0	0	0	6	0
1006	0	0	0	6	0
1007	0	0	0	12	0
1008	0	0	0	6	0
1009	0	0	0	6	0
1010	0	0	0	12	0
1011	0	0	0	6	0
1012	0	0	0	8	0
1013	0	0	0	6	0
1014	0	0	0	6	0
1015	0	0	0	6	0
1016	0	0	0	6	0
1018	0	0	0	6	0
1019	0	0	0	6	0
1020	0	0	0	8	0
10A	0	0	0	29	0
10B	0	0	0	82	0
10H	0	0	0	30	0
2001	0	0	0	6	0
2002	0	0	0	8	0
2003	0	0	0	8	0
2004	0	0	0	6	0
2005	0	0	0	6	0
2006	0	0	0	8	0
2007	0	0	0	6	0
2008	0	0	0	6	0
2009	0	0	0	14	0
2010	0	0	0	6	0
2011	0	0	0	6	0
2012	0	0	0	6	0
2013	0	0	0	12	0
2015	0	0	0	6	0
2016-01-61	0	0	0	8	0
2016-01-62-1	0	0	0	29	0
2016-01-62-2	0	0	0	82	0
2016-01-62-3	0	0	0	36	0
2016-01-63-1	0	0	0	4	0
2016-01-63-2	0	0	0	4	0
2016-01-64-1	0	0	0	8	0
2016-01-64-2	0	0	0	8	0
2016-01-64-3	0	0	0	8	0
2016-01-65-1	0	0	0	8	0
2016-01-65-2	0	0	0	8	0
2016-01-65-3	0	0	0	8	0
2016-01-65-4	0	0	0	8	0
2016-01-66	0	0	0	7	0
2016-01-68	0	0	0	9	0
2016-06-27-1	0	0	0	3	0
2016-06-27-10	0	0	0	13	0
2016-06-27-11	0	0	0	2	0
2016-06-27-12	0	0	0	2	0
2016-06-27-2	0	0	0	13	0
2016-06-27-3	0	0	0	13	0
2016-06-27-4	0	0	0	13	0
2016-06-27-5	0	0	0	13	0
2016-06-27-6	0	0	0	13	0
2016-06-27-7	0	0	0	13	0
2016-06-27-8	0	0	0	13	0
